Title,Artist,ConstituentID,ArtistBio,Ethnicity,Nationality,Gender,Medium,CreditLine,Classification,Department,DateAcquired,URL,ImageURL
Untitled from First Test,Moshe Kupferman,3301,"(Israeli, 1926–2003)",Israeli,(Israeli),(male),One from a bound album of eight etchings,Gift of Jacob and Yael Samuel,Illustrated Book,Drawings & Prints,2015-10-27,https://www.moma.org/collection/works/200249,https://www.moma.org/media/W1siZiIsIjUzNDU4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8aadcec159d157b7
supremely black,Haim Steinbach,34551,"(American, born Israel 1944)",Israeli,(American),(male),"Plastic laminated wood shelf, ceramic pitchers, and cardboard detergent boxes",Hillman Periodicals Fund (by exchange),Sculpture,Painting & Sculpture,2016-06-06,https://www.moma.org/collection/works/204242,https://www.moma.org/media/W1siZiIsIjM1MDY3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c9e682bf3d76cafe
Bubble 1 - Bubble 6 (for Parkett no. 98),Mika Rottenberg,28956,"(Israeli, born 1976)",Israeli,(Israeli),(female),"Single-channel video (color, sound) and multiple of purse with plastic capsule, containing memory stick",Riva Castleman Endowment Fund,Multiple,Drawings & Prints,2017-03-30,https://www.moma.org/collection/works/220445,https://www.moma.org/media/W1siZiIsIjM5OTQ4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6d4bc14351d8846a
White Male Selfies (for Parkett no. 99),Omer Fast,68022,"(Israeli and American, born 1972)",Israeli,(Israeli),(male),Portfolio of nine digital prints,Riva Castleman Endowment Fund,Print,Drawings & Prints,2017-03-30,https://www.moma.org/collection/works/220447,https://www.moma.org/media/W1siZiIsIjQwMDEyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=17c6bb3e82f72395
Parkett no. 98,"Various Artists, Ed Atkins, Lee Kit, Mika Rottenberg, Theaster Gates","24409, 43747, 68021, 28956, 68020","(British, born 1982) (Chinese, born 1978) (Israeli, born 1976) (American, born 1973)",Israeli,() (British) (Chinese) (Israeli) (American),() (male) (male) (female) (male),Journal,Gift of Parkett,Periodical,Drawings & Prints,2017-03-30,https://www.moma.org/collection/works/221728,https://www.moma.org/media/W1siZiIsIjM5ODU5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=37b04b66110fe0e8
Parkett no. 99,"Various Artists, Cao Fei, Omer Fast, Adrian Ghenie, Lynette Yiadom-Boakye","24409, 35159, 68022, 68023, 46962","(Chinese, born 1978) (Israeli and American, born 1972) (Romanian, born 1977) (British, born 1977)",Israeli,() (Chinese) (Israeli) (Romanian) (British),() (female) (male) (male) (female),Journal,Gift of Parkett,Periodical,Drawings & Prints,2017-03-30,https://www.moma.org/collection/works/221729,https://www.moma.org/media/W1siZiIsIjM5ODg5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=589aab9b79a05324
Glass II,"Neri Oxman, Mediated Matter Group, Massachusetts Institute of Technology, Cambridge, MA","33046, 46537, 8879","(American, born Israel, 1976) (est. 2010) (est. 1861)",Israeli,(American) () (American),(female) () (),3D printed glass,The Modern Women's Fund,Design,Architecture & Design,2018-10-15,https://www.moma.org/collection/works/290779,
"Glass I section - ""MoMA 1""","Neri Oxman, Mediated Matter Group, Massachusetts Institute of Technology, Cambridge, MA","33046, 46537, 8879","(American, born Israel, 1976) (est. 2010) (est. 1861)",Israeli,(American) () (American),(female) () (),3D printed glass,The Modern Women's Fund,Design,Architecture & Design,2018-10-15,https://www.moma.org/collection/works/290780,https://www.moma.org/media/W1siZiIsIjQ2MTI0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=98043068bc696db0
Vespers: Lazarus,"Neri Oxman, Mediated Matter Group, Massachusetts Institute of Technology, Cambridge, MA","33046, 46537, 8879","(American, born Israel, 1976) (est. 2010) (est. 1861)",Israeli,(American) () (American),(female) () (),3D printed multicolored Vero acrylic polymer,Committee on Architecture and Design Funds,Design,Architecture & Design,2018-10-15,https://www.moma.org/collection/works/290897,https://www.moma.org/media/W1siZiIsIjQ2ODU1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3659180f5f963d78
Glass II,"Neri Oxman, Mediated Matter Group, Massachusetts Institute of Technology, Cambridge, MA","33046, 46537, 8879","(American, born Israel, 1976) (est. 2010) (est. 1861)",Israeli,(American) () (American),(female) () (),3D printed glass,The Modern Women's Fund,Design,Architecture & Design,2018-10-15,https://www.moma.org/collection/works/292049,
Glass II,"Neri Oxman, Mediated Matter Group, Massachusetts Institute of Technology, Cambridge, MA","33046, 46537, 8879","(American, born Israel, 1976) (est. 2010) (est. 1861)",Israeli,(American) () (American),(female) () (),3D printed glass,The Modern Women's Fund,Design,Architecture & Design,2018-10-15,https://www.moma.org/collection/works/292050,
"Glass I section - ""MoMA 2"" Part 1","Neri Oxman, Mediated Matter Group, Massachusetts Institute of Technology, Cambridge, MA","33046, 46537, 8879","(American, born Israel, 1976) (est. 2010) (est. 1861)",Israeli,(American) () (American),(female) () (),3D printed glass,The Modern Women's Fund,Design,Architecture & Design,2018-10-15,https://www.moma.org/collection/works/292061,https://www.moma.org/media/W1siZiIsIjQ2MTI1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c34436202a8f832a
"Glass I section - ""MoMA 3""","Neri Oxman, Mediated Matter Group, Massachusetts Institute of Technology, Cambridge, MA","33046, 46537, 8879","(American, born Israel, 1976) (est. 2010) (est. 1861)",Israeli,(American) () (American),(female) () (),3D printed glass,The Modern Women's Fund,Design,Architecture & Design,2018-10-15,https://www.moma.org/collection/works/292062,https://www.moma.org/media/W1siZiIsIjQ2MTI1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=33860ab5d2ed7389
"Glass I section - ""MoMA 4""","Neri Oxman, Mediated Matter Group, Massachusetts Institute of Technology, Cambridge, MA","33046, 46537, 8879","(American, born Israel, 1976) (est. 2010) (est. 1861)",Israeli,(American) () (American),(female) () (),3D printed glass,The Modern Women's Fund,Design,Architecture & Design,2018-10-15,https://www.moma.org/collection/works/292063,https://www.moma.org/media/W1siZiIsIjQ2MTI1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c268e50c4d6acb99
"Glass I section - ""MoMA 5""","Neri Oxman, Mediated Matter Group, Massachusetts Institute of Technology, Cambridge, MA","33046, 46537, 8879","(American, born Israel, 1976) (est. 2010) (est. 1861)",Israeli,(American) () (American),(female) () (),3D printed glass,The Modern Women's Fund,Design,Architecture & Design,2018-10-15,https://www.moma.org/collection/works/292064,https://www.moma.org/media/W1siZiIsIjQ2MTI1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1d85f0cb55883247
"Glass I section - ""MoMA 6""","Neri Oxman, Mediated Matter Group, Massachusetts Institute of Technology, Cambridge, MA","33046, 46537, 8879","(American, born Israel, 1976) (est. 2010) (est. 1861)",Israeli,(American) () (American),(female) () (),3D printed glass,The Modern Women's Fund,Design,Architecture & Design,2018-10-15,https://www.moma.org/collection/works/292065,https://www.moma.org/media/W1siZiIsIjQ2MTI1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=275ba4a8c84af40c
"Glass I section - ""B4""","Neri Oxman, Mediated Matter Group, Massachusetts Institute of Technology, Cambridge, MA","33046, 46537, 8879","(American, born Israel, 1976) (est. 2010) (est. 1861)",Israeli,(American) () (American),(female) () (),3D printed glass,The Modern Women's Fund,Design,Architecture & Design,2018-10-15,https://www.moma.org/collection/works/292066,https://www.moma.org/media/W1siZiIsIjQ2MTI2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b26163a9b1532c63
"Glass I section - ""C14""","Neri Oxman, Mediated Matter Group, Massachusetts Institute of Technology, Cambridge, MA","33046, 46537, 8879","(American, born Israel, 1976) (est. 2010) (est. 1861)",Israeli,(American) () (American),(female) () (),3D printed glass,The Modern Women's Fund,Design,Architecture & Design,2018-10-15,https://www.moma.org/collection/works/292067,https://www.moma.org/media/W1siZiIsIjQ2MTI2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=80d2b80d877a2765
"Glass I section - ""D16""","Neri Oxman, Mediated Matter Group, Massachusetts Institute of Technology, Cambridge, MA","33046, 46537, 8879","(American, born Israel, 1976) (est. 2010) (est. 1861)",Israeli,(American) () (American),(female) () (),3D printed glass,The Modern Women's Fund,Design,Architecture & Design,2018-10-15,https://www.moma.org/collection/works/292068,https://www.moma.org/media/W1siZiIsIjQ2MTI1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ea85c92c4bfbafc5
"Glass I section - ""E23""","Neri Oxman, Mediated Matter Group, Massachusetts Institute of Technology, Cambridge, MA","33046, 46537, 8879","(American, born Israel, 1976) (est. 2010) (est. 1861)",Israeli,(American) () (American),(female) () (),3D printed glass,The Modern Women's Fund,Design,Architecture & Design,2018-10-15,https://www.moma.org/collection/works/292069,https://www.moma.org/media/W1siZiIsIjQ2MTI1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5d4e9f41be9cfd60
"Glass I section - ""F10""","Neri Oxman, Mediated Matter Group, Massachusetts Institute of Technology, Cambridge, MA","33046, 46537, 8879","(American, born Israel, 1976) (est. 2010) (est. 1861)",Israeli,(American) () (American),(female) () (),3D printed glass,The Modern Women's Fund,Design,Architecture & Design,2018-10-15,https://www.moma.org/collection/works/292070,https://www.moma.org/media/W1siZiIsIjQ2MTI1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=da965a7708225172
"Glass I section - ""MoMA 2"" Part 2","Neri Oxman, Mediated Matter Group, Massachusetts Institute of Technology, Cambridge, MA","33046, 46537, 8879","(American, born Israel, 1976) (est. 2010) (est. 1861)",Israeli,(American) () (American),(female) () (),3D printed glass,The Modern Women's Fund,Design,Architecture & Design,2018-10-15,https://www.moma.org/collection/works/292246,https://www.moma.org/media/W1siZiIsIjQ2MTI1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ff169c32c3c316c6
Glass II,"Neri Oxman, Mediated Matter Group, Massachusetts Institute of Technology, Cambridge, MA","33046, 46537, 8879","(American, born Israel, 1976) (est. 2010) (est. 1861)",Israeli,(American) () (American),(female) () (),3D printed glass,The Modern Women's Fund,Design,Architecture & Design,2018-10-15,,
"Glass I, section studies","Neri Oxman, Mediated Matter Group, Massachusetts Institute of Technology, Cambridge, MA","33046, 46537, 8879","(American, born Israel, 1976) (est. 2010) (est. 1861)",Israeli,(American) () (American),(female) () (),3D printed glass,The Modern Women's Fund,Design,Architecture & Design,2018-10-15,https://www.moma.org/collection/works/293015,https://www.moma.org/media/W1siZiIsIjQ2MTI1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d7eac12a2b4ebc8c
hello again,Haim Steinbach,34551,"(American, born Israel 1944)",Israeli,(American),(male),Vinyl,Acquired on the occasion of The Museum  of Modern Art’s 2019 reopening,Installation,Painting & Sculpture,2019-04-30,https://www.moma.org/collection/works/298606,https://www.moma.org/media/W1siZiIsIjQ1NTYyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6c299511c2981d75
Drawing from Paul Klee's Bauhaus preliminary course,Arieh Sharon,132499,"(Israeli, born Poland. 1900 – 1984)",Israeli,(Israeli),(male),"Ink, pencil, and watercolor on paper",Gift of Alice and Tom Tisch,Design,Architecture & Design,2021-11-08,https://www.moma.org/collection/works/407820,https://www.moma.org/media/W1siZiIsIjUxNDc4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7e8d194343a94260
Drawing from Paul Klee's Bauhaus preliminary course,Arieh Sharon,132499,"(Israeli, born Poland. 1900 – 1984)",Israeli,(Israeli),(male),"Ink, pencil, and watercolor on paper",Gift of Alice and Tom Tisch,Design,Architecture & Design,2021-11-08,https://www.moma.org/collection/works/419298,https://www.moma.org/media/W1siZiIsIjUxNDc4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=fc7fc91c27ecc574
Drawing from Vasily Kandinsky's Bauhaus preliminary course,Arieh Sharon,132499,"(Israeli, born Poland. 1900 – 1984)",Israeli,(Israeli),(male),Watercolor on paper,Gift of Alice and Tom Tisch,Design,Architecture & Design,2021-11-08,https://www.moma.org/collection/works/419299,https://www.moma.org/media/W1siZiIsIjUxNDc4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ec5df199ffa847cc
Drawing from Vasily Kandinsky's Bauhaus preliminary course,Arieh Sharon,132499,"(Israeli, born Poland. 1900 – 1984)",Israeli,(Israeli),(male),Watercolor on paper,Gift of Alice and Tom Tisch,Design,Architecture & Design,2021-11-08,https://www.moma.org/collection/works/419300,https://www.moma.org/media/W1siZiIsIjUxNDc4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=19c2bbf8813bd2e1
2 Lizards,"Meriem Bennani, Orian Barki","70314, 133122","(Moroccan, born 1988) (Israeli, born 1985)",Israeli,(Moroccan) (Israeli),(female) (female),"High-definition video (color, sound)",Acquired through the generosity of Elie Khouri,Video,Media and Performance,2020-11-12,https://www.moma.org/collection/works/419356,https://www.moma.org/media/W1siZiIsIjQ5OTk5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b5744421a91e3c00
Collapsing Window in the Mountain (Nightmare),Noa Eshkol,134959,"(Israeli, 1924 – 2007)",Israeli,(Israeli),(female),"Velvet, cotton, cord, jersey, synthetic fabric, and rayon","Pat Hearn and Colin de Land Acquisition Fund
",Sculpture,Painting & Sculpture,2022-12-12,https://www.moma.org/collection/works/435709,https://www.moma.org/media/W1siZiIsIjU2NDM0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e7c25754b5e41e8e
